Item,Brand,Opinion
珍珠奶茶,50嵐,50嵐奶茶不會很膩，波霸很好吃
珍珠奶茶,Coco,Coco價錢算較親民，口感易膩
珍珠奶茶,一芳,一芳有粉圓鮮奶茶與黑糖粉圓鮮奶茶，Q彈濃郁香氣的黑糖小粉圓，配上一芳的小農鮮乳，順滑香醇
珍珠奶茶,Milk Shop,Milk Shop 的鮮奶跟白珍珠是賣點，鮮奶茶系列的產品市場上最佳
珍珠奶茶,珍煮丹,珍煮丹的招牌黑糖珍珠鮮奶以黑糖與珍珠為主軸，黑糖香醇，甜而不膩，珍珠軟硬適中帶有咬勁
珍珠奶茶,老虎堂,老虎堂有著美麗的老虎斑紋的黑糖珍珠鮮奶在 IG 打卡竄紅
夜市,南機場夜市,常聽到南機場有很多美食，尤其是來來水餃聽說很有名，經過幾次也都是座無虛席，而且座位很多，兩家店面併成一家的
夜市,士林夜市,知名店家有南港老張胡椒餅、50年老店王記青草茶、家鄉泰式涼麵臭豆腐、比臉大的豪大大雞排、好吃的大上海生煎包等
夜市,饒河夜市,饒河夜市必吃美食分享給大家，一家是『陳董藥燉排骨』，另一家則是『福島屋圓圓燒』。這兩家一個是台灣傳統小吃，一家則是日式小吃
夜市,通化夜市,台北捷運信義安和站周圍最著名的景點與美食，莫過於是通化夜市了；這個夜市也是非常久的老商圈，附近以前沒捷運時，在逛完世貿展的時候筆者經常會來吃東西，也是很多朋友和老饕都會推薦必吃美食地圖的重要地點！
夜市,寧夏夜市,寧夏夜市在民生西路與寧夏路的交叉口上，一左一右的「豆花莊」與「古早味豆花」，分別是夜市裡最出名的兩家豆花店
台北,台北101,於2004年12月31日隆重開幕的台北101，位於信義商圈，緊鄰台北市政府，同時也是台北地區的新興金融大樓，造價逾新台幣580億元，是由著名建築師李祖原負責設計及監造。台北101購物中心群樓商場有地上101層、地下5層、高508米，落成之際曾名列世界最高樓，目前為世界第四、亞洲第三。繁榮的台北101購物中心是每個人到台北必訪的景點之一。台北101大樓近年來在跨年時刻施放大型煙火，更是台北市跨年活動中主要的重頭戲。
台北,中正紀念堂,中正紀念堂是一座為紀念已故前中華民國總統蔣中正而興建的建築，位於臺北市中正區，也是眾多紀念蔣中正總統的建築中規模最大者。
台北,士林官邸,士林官邸正館為國定古蹟為先總統蔣公與蔣夫人昔日重要的生活空間，在此共度26年的歲月，期間曾有不少外國貴賓來訪，如美國總統尼克森、韓國總理李承晚等。因為蔣夫人最愛玫瑰花，士林官邸才有這座美麗的玫瑰園，1996年08月開放免費參觀之後，更是受到許多民眾的喜愛，每年也都有會舉辦玫瑰花季活動，玫瑰所散發出的浪漫氣息，以及甜美的香氣，很少有人不被深深的吸引、打動。
,,
,,
,,
,,
,,
,,
,,
,,
